,title,category,passage,news_from,url
0,诺基亚近60年来首次换Logo 摆脱手机厂商形象,2,"<div class=""left_zw"">

<p>　　澎湃新闻记者 孙铭蔚</p>

<p>　　诺基亚推出全新Logo。</p>

<p>　　当地时间2月26日，在巴塞罗那举行的世界移动通信大会期间，曾经的手机巨头诺基亚宣布更换其企业标识，以便重塑以往手机生产者的印象。这是该公司在近60年来首次更改其品牌标志 Logo。</p>

<p>　　“在大多数人的心目中，我们仍然是一个成功的手机品牌，但这不是诺基亚的宗旨，”诺基亚总裁兼首席执行官Pekka Lundmark在接受采访时说，“我们想推出一个新的品牌，它非常关注网络和工业数字化，这与传统的手机是完全不同的。”</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p>　　据路透社报道，新的Logo由五种不同的形状组成，构成“NOKIA”一词，此外，旧Logo中的标志性蓝色已被替换为一系列颜色。Lundmark在接受采访时表示：“这(旧Logo)与智能手机有关，现在我们是一家商业技术公司。它被设计为合作的象征，诺基亚认为这对实现网络的指数潜力至关重要：释放可持续性、生产力和可及性方面的收益。”</p>

<p>　　在博客中，Lundmark写道：“今天是另一个里程碑。我们正在更新我们的战略，作为一个关键的推动者，我们也在更新我们的品牌以反映我们今天的身份：B2B技术创新领导者，开创网络与云相遇的未来。”</p>

<p>　　Lundmark在2020年接任陷入困境的诺基亚的CEO后，制定了一个分为三个阶段的战略：重置、加速和扩展。随着重置阶段的完成，Lundmark表示“诺基亚正在加速进入战略的下一阶段”。</p>

<p>　　Lundmark还表示，诺基亚将专注于增加该公司为无线服务提供商提供网络设备的业务的市场份额。他说，诺基亚现在拥有“弹药和工具”，可以在不牺牲利润率的情况下夺取市场份额。</p>

<p>　　虽然诺基亚仍旨在发展其服务提供商业务，即向电信公司销售设备，但其现在的主要重点是向其他企业销售设备。诺基亚还希望加快向企业销售专用5G网络的业务增长。Lundmark表示，去年企业业务占诺基亚收入的8%，下一个目标是将业务推至“两位数”，主要是通过有机增长和小规模收购。</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:邵婉云】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961478.shtml
1,工信部：不得将下载APP与阅读网页内容相绑定,2,"<div class=""left_zw"">

<p>　　<a target=""_blank"" href=""/"">中新网</a>2月27日电 据工信微报27日消息，工业和信息化部近日印发通知，部署进一步提升移动互联网应用服务能力。围绕提升用户服务感知、提升行业管理能力，即“两提升”，共提出26条措施。</p>

<p>　　通知提出，确保知情同意安装。向用户推荐下载APP应遵循公开、透明原则，真实、准确、完整地明示开发运营者、产品功能、隐私政策、权限列表等必要信息，并同步提供明显的取消选项，经用户确认同意后方可下载安装，切实保障用户知情权、选择权。<strong>不得通过“偷梁换柱”“强制捆绑”“静默下载”等方式欺骗误导用户下载安装。</strong></p>

<p>　　规范网页推荐下载行为。在用户浏览页面内容时，未经用户同意或主动选择，<strong>不得自动或强制下载APP</strong>，或以折叠显示、主动弹窗、频繁提示等方式强迫用户下载、打开APP，影响用户正常浏览信息。无正当理由，<strong>不得将下载APP与阅读网页内容相绑定</strong>。</p>

<p>　　实现便捷卸载。除基本功能软件外，APP应当可便捷卸载，不得以空白名称、透明图标、后台隐藏等方式恶意阻挠用户卸载。(中新财经)</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<div id=""qb-sougou-search"" style=""display: none; opacity: 0;"">

<p>　　搜索</p>

<p class=""last-btn"">复制</p>
</div><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:唐炜妮】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961467.shtml
2,13家上司公司获超100家机构调研 百亿私募谁最勤奋？,2,"<div class=""left_zw"">

<p>　　证券时报记者 李言</p>

<p>　　春节后，随着市场情绪回暖以及疫情逐渐散去，机构投资者掀起了一轮“调研热”，尤其是线下调研迎来重启，部分上市公司获数十家机构扎堆现场调研。</p>

<p>　　13家上市公司</p>

<p>　　获超100家机构调研</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p>　　Wind数据显示，今年2月以来，共有652家上市公司获机构调研，被调研总次数最多的是大族激光和苏文电能，分别被调研了23次、18次；拓邦股份、常熟银行、美瑞新材分别被调研16次、11次、10次；汇川技术、佐力药业、奥拓电子、苏农银行、云南铜业、英威腾等均被调研了9次。</p>

<p>　　值得注意的是，久违的线下调研也拉开了大幕。以大族激光为例，在23次的机构调研中，有一半都是现场会议，2月20日以后几乎全是机构的现场调研；苏文电能共获18次调研，则全部都是现场会议，最多的一次有37家机构来到现场调研，自2月1日以来几乎每天都有1~2场的机构调研。</p>

<p>　　从调研机构数量来看，有13家上市公司获超过100家机构调研，汇川技术、汤姆猫和苏文电能排名前三，是机构眼中的“香饽饽”，调研机构分别有162家、157家、154家。</p>

<p>　　以近期股价大涨的汤姆猫为例，自2月10日以来，该公司共被调研7次，其中有4次都是机构走进现场调研。机构最为关注的问题就是公司应用ChatGPT技术的应用前景以及产品形态等。该公司表示，公司接入ChatGPT的API开展语音互动产品的开发，目前处于前期测试阶段，公司旨在验证相关技术与公司产品结合进行综合开发的可行性。2月以来，汤姆猫股价涨逾50%。</p>

<p>　　另外，还有周大生、温氏股份、汉钟精机、科德数控、凯美特气、川环科技、怡合达、奇安信、仙琚制药以及丽珠集团，这些公司获调研的机构家数均超过100家。</p>

<p>　　百亿私募调研忙</p>

<p>　　高毅、汐泰最勤奋</p>

<p>　　随着疫情逐渐散去，线下活动不断恢复，扎根在北京、上海、深圳的各大机构，陆陆续续地走出门，掀起了一轮“调研热”，为新一年的投资积极准备。</p>

<p>　　相比其他调研机构，百亿私募的调研热情也非常高涨。其中，高毅和汐泰2月以来调研次数超过40次，均为43次，是调研“最勤奋”的私募。高毅调研关注度最高的3只个股分别是杭州银行、汇川技术和广和通；汐泰调研关注度最高的是广信材料、汤姆猫和康泰生物。</p>

<p>　　此外，淡水泉、趣时、敦和、聚鸣、睿郡、盘京和煜德等百亿私募的调研次数均超过25次。</p>

<p>　　行情回暖销售升温</p>

<p>　　百亿私募发行新产品</p>

<p>　　节后，在市场情绪回暖的背景下，除了密集调研，明星私募还积极发行新产品，私募的销售日渐升温。近日，宁泉资本杨东的新产品大卖近34亿元，成为年内首只爆款明星私募，远高于原定的20亿元的募集目标。</p>

<p>　　有渠道透露，2月27日起，睿郡资产董承非管理的新产品将在渠道销售，或再度引发认购热潮。2月12日，董承非曾在路演中表示，今年的复苏将是温和复苏，对赚快钱的人来讲可能会失望，但如果有点耐心，未必不是好事情，“行情走得慢一点，给我的时间也会多一点。”</p>

<p>　　董承非表示，在当前时点，会选择根据产品具有的安全边际，适时增加权益配置比例。对于2023年的组合配置，更倾向于“大盘股中选深度价值，将高分红率的大盘价值股作为基础配置；小盘股方面，会选择优质的小盘成长股，特别是小盘科技股作为‘奇兵’，作为弹性配置。”</p>

<p>　　除了睿郡以外，聚鸣、慎知等百亿私募也即将开启新产品的发行。</p>

<p>　　聚鸣投资董事长、投资总监刘晓龙近日在一场线下内部交流中表示，对A股来说，2023年将是流动性很充裕的一个低利率环境。而这是股票投资最好的一种环境——流动性好，没有通胀压力，经济相对不那么热。从估值来看，A股虽然已经经历了过去3个月的反弹，但目前仍处于一个中低估值的位置，目前距离估值的中位数大概还有20%左右。</p>

<p>　　“现在处于熊市刚结束一个季度的底部状态。我们认为，还会有集体修复的一次机会，然后才会在行业层面慢慢地展开。”刘晓龙说。</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:程春雨】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961383.shtml
3,Meta加入AI军备竞赛：发布模型号称优于ChatGPT,2,"<div class=""left_zw"">

<p>　　澎湃新闻记者 吴雨欣</p>

<p>　　继微软、谷歌之后，脸书(Facebook)母公司Meta(Nasdaq：META)也加入AI军备竞赛。</p>

<p>　　当地时间2月24日，Meta官网公布了一款新的人工智能大型语言模型LLaMA，从参数规模来看，Meta提供有70亿、130亿、330亿和650亿四种参数规模的LLaMA模型，并用20种语言进行训练。</p>

<p>　　Meta首席执行官马克·扎克伯格表示，LLaMA模型旨在帮助研究人员推进工作，在生成文本、对话、总结书面材料、证明数学定理或预测蛋白质结构等更复杂的任务方面有很大的前景。</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p>　　怎么理解人工智能大型语言模型的参数？</p>

<p>　　据悉，AIGC(利用人工智能技术来生成内容)形成的学习能力在一定程度上取决于参数的规模。Open AI推出的ChatGPT是通过其AI大模型GPT-3的基础上通过指令微调后得到的，参数量达1750亿，谷歌推出的Bard使用的是轻量级LaMDA模型，相比标准版本，轻量化版本模型所需要的运算能力较小，能面向更多使用者开放，使其参与体验，有报道指出LaMDA模型参数量在1370亿。百度文心大模型参数量达到2600亿，阿里则表示，从过往实践来看，其具备支撑超万亿参数大模型研发的技术实力。</p>

<p>　　Meta此次推出的大模型实力如何呢？</p>

<p>　　Meta首席AI科学家杨立昆(Yann LeCun)表示，在一些基准测试中，LLaMA 130亿参数规模的模型性能优于OpenAI推出的GPT3，且能跑在单个GPU上；650亿参数的LLaMA模型能够和DeepMind 700亿参数的Chinchilla模型、谷歌5400亿参数的PaLM模型竞争。</p>

<p>　　法新社称，按照Meta的表述，LLaMA是一套“更小、性能更好”的模型，且不同于谷歌的LaMDA和OpenAI的GPT机密训练资料和演算，LLaMA是基于公开资料进行训练。</p>

<p>　　Meta在官网表示，在大型语言模型中，像LLaMA这样的小型基础模型是可取的，因为测试新方法、验证他人的工作和探索新用例所需的计算能力和资源要少得多。基础模型基于大量未标记的数据进行训练，这使得它们非常适合于各种任务的微调。与其他大型语言模型一样，LLaMA的工作原理是将一系列单词作为输入，并预测下一个单词以递归生成文本。</p>

<p>　　Meta称将致力于这种开源模型的研究，新模型会开源给整个AI研究社区使用，并授予大学、非政府组织和行业实验室访问权限。另外，Meta表示其还有更多研究需要做，以解决大型语言模型中的偏见、有害评论等风险。</p>

<p>　　Meta披露的2022年第四季度财报显示，该公司已连续第三个季度出现营收同比下滑，四季度营收312.54亿美元，同比下降4%。广告为Meta的支柱业务，为第四季度的总营收贡献超97%，报告期内，尽管广告展现量增长了23%，但单位广告价格下滑了22%。</p>

<p>　　截至美东时间2月24日，Meta股价跌0.96%报170.390美元/股，总市值4418亿美元。</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:石睿】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961363.shtml
4,储蓄率创近年新高 年轻人偏爱“无痛攒钱”,2,"<div class=""left_zw"">

<p><strong>　　储蓄率创近年新高 年轻人偏爱“无痛攒钱”</strong></p>

<p><strong>　　“节俭”也超额了？</strong></p>

<p>　　节俭是一种美德，可现在正在有人为它表示担心。</p>

<p>　　中国人民银行公布的数据显示，2022年人民币存款增加26.26万亿元，同比多增6.59万亿元。其中，储户存款增加17.84万亿元，这与2021年全年的水平相比，多增了7.94万亿元。</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p>　　畅销书《慢慢变富：让人生更富有的金钱与工作法则》的作者松浦弥太郎信奉，“金钱在于流动”。可在中国，现状是越来越多的人选择把钱存入银行。</p>

<p>　　更令人关注的是年轻人的选择。2021年，一项超2万名受访者参与的调查显示，养老储备日渐受到中国年轻一代(18-34岁)的重视，储蓄率创下2018年以来的新高。其中，76%的年轻一代表示，增加储蓄的原因在于“增加应急储备”。</p>

<p>　　就像松浦弥太郎说的，“攒钱比花钱更容易。毕竟花钱的方法有很多，但攒钱的方法就只有一个，那就是‘少花钱’。”这些年轻人还为此创造了“无痛攒钱”的方法，以每次攒钱数小、周期短、目标小为特点，在不知不觉中，实现痛感极低的攒钱计划。</p>

<p>　　<strong>“超前消费无法抵抗未知风险”</strong></p>

<p>　　30岁的莫星就是储蓄大军中的一位年轻人。如果用“0”来标注大多数人存款的起点，那么莫星的位置在“负6万元”。</p>

<p>　　她花了近2年时间，才在去年还清全部负债，其间，她换了3份工作。</p>

<p>　　“你永远不知道未来会发生什么，攒钱真的很重要。”2022年5月10日，当莫星还清负债后，她在社交媒体上发帖留念。</p>

<p>　　这笔负债最初发生在莫星大学毕业前。那时，忙于秋招实习的莫星不好意思向父母开口借钱，用助学贷款和从“借呗”借出的钱租房、购物等。2019年11月，没找到满意工作的莫星选择买入一项2.5万元的“保offer计划”课程，“豁出去也要试一试”，这笔钱成为负债中的大头。</p>

<p>　　后来，莫星入职了上海一家银行的信贷部门，这份工作的收入大部分和业绩提成挂钩，她觉得自己“初入社会又人生地不熟”，可能很难完成任务，每月5000多元的基本工资更让她觉得还清负债遥遥无期。此时，她的贷款本金加利息已累积到了6万元。</p>

<p>　　2021年6月，莫星跳槽到一家房地产中介公司，保证了每月至少1万元的收入。可是，市场的变化令她始料不及。到了10月，公司开始裁员，还没转正的她终是没躲过去。</p>

<p>　　“现在想想，如果当时不是被那6万元困扰，就不会只计较收入，忽略了银行那份工作长远来看的好处。”莫星意识到工作稳定和福利保障的重要性。</p>

<p>　　她把所有的东西重新分门别类整理出清单，不是必需品就绝不购买，为了防止自己抵不住诱惑，她还卸载了购物App，“没有了就不会刷了，不刷就不会心动”。在还清欠款后，莫星还注销了信用卡和“花呗”，她决定“不超前消费，只用余额来生活”。</p>

<p>　　在房地产公司工作的张小雨也开始学会精打细算生活。2020年年初，她和老公在杭州买了房，那一年，她还当上了妈妈。背着贷款和养娃“两座大山”，她觉得任何风险都是不可承受的。</p>

<p>　　张小雨的老公在一家互联网公司工作，一家的收入大部分系于老公的工作。这几年的行业内一些公司在裁员，让她更没有安全感，想要有更多的存款。“会担心第二天醒来老公收到裁员通知，然后就反复查看存款上的数字，盘算能维持几个月的开销，可以给自己多久的缓冲期。”</p>

<p>　　这些行为的背后共同指向近些年居民的行为逻辑——风险厌恶。在经济学界，有学者甚至用“超额储蓄”来形容如今中国的高额储蓄现象。</p>

<p>　　中国人民大学研究生院常务副院长陈彦斌认为，2022年出现的居民“超额储蓄”现象，主要源于居民消费意愿下降导致的储蓄被动上升。他向中青报·中青网记者提到了三方面原因，包括在疫情的冲击下，线下消费场景受到较大程度的制约；受房地产市场景气度下滑以及银行理财产品收益下降等因素影响，居民部门减少了购房和理财等投资性支出，从而进一步增加了储蓄规模。</p>

<p>　　但最重要的是，“受疫情等因素影响，居民收入不确定性增加，对未来经济走势的预期转弱，从而导致预防性储蓄上升并引发‘超额储蓄’。”这位学者表示。</p>

<p>　　<strong>“超额储蓄”能否转化为消费</strong></p>

<p>　　如果拉长时间线来看，“超额储蓄”的状况或许有更深层的原因。</p>

<p>　　招联金融首席研究员董希淼表示，我国居民长期以来有着较为强烈的储蓄习惯，老百姓爱存钱，储蓄率一直相对较高，居民存款占人民币存款的比例在1995年第三季度达到最高的60.4%。但随着国民经济快速发展、居民投资理财意识增强、金融产品供给丰富，居民储蓄意愿有所下降，2017年年底居民存款占人民币存款的比例下降到39.2%。</p>

<p>　　2018年成了一个转折点，此后国人的储蓄率又开始回升，到2022年一季度已经达到45.4%。董希淼认为，这表明居民存款快速增长和占比提高初步呈现长期化趋势。</p>

<p>　　陈彦斌表示，这几年居民储蓄意愿增强是疫情冲击等阶段性原因和收入分配结构失衡等深层次原因共同作用的结果，完善收入分配制度，扭转收入分配失衡的局面，切实提高中低收入群体的收入水平至关重要。</p>

<p>　　针对“超额储蓄”现象，不少学者建议要把“超额储蓄”有效转化为消费。经济学家、万博新经济研究院院长滕泰对此表示，“中国的消费不振，不能光惦记老百姓的钱”。</p>

<p>　　他列出了一组数据：2022年，中国的国内生产总值(GDP)为121.02万亿元，全国居民人均可支配收入是36883元，那么全国居民的可支配收入总额在52万亿元左右，占GDP比重为43%。“这个比例在美国是80%以上、印度、越南等发展中国家也超过70%，即使是欧洲很多高福利国家也在65%左右，中国的消费不振，核心原因是居民收入增速在放缓，居民收入占GDP的比重过低。”</p>

<p>　　“促消费关键要从收入端发力，提高居民可支配收入，让大家有钱可花。”滕泰说。</p>

<p>　　事实上，很多年轻人的消费观也证明了这一点。如果说老一辈的人攒钱是在为未来做打算，那很多90后、00后攒钱很大程度上只是为了将来能更好地花钱。他们将不同的“无痛攒钱”方式命名为“公主存钱法”“365天存钱法”“木鱼存钱法”……存够了一定金额后再去消费。</p>

<p>　　“存钱需要一种仪式感。”在医药行业工作的白雯欣今年计划存款5万元，她制作了一个“存钱计划(2023)”电子表格，分设了36单存钱计划、52周存款。</p>

<p>　　每个月工资到账后，白雯欣先拿出3000元，分别以一年期、两年期、三年期各存入银行1000元，记录存入时间和到期时间，一年存入定期3.6万元，剩下的1.4万元，用“52周存钱法”，方法很简单：一年52周，每周递存10元。第1周存10元，第2周存20元……到第52周存520元。坚持一年，她就能攒下13780元。</p>

<p>　　存款上的数字，对白雯欣来说意味着成长。“我现在是在过日子，而不是小孩子了”，在她看来，有计划的生活才是过日子，存钱，就是在经济方面的计划。</p>

<p>　　为了更好地经营自己的生活，张小雨也在琢磨如何把日子过得“又好又省”。她几乎已经不去实体店买衣服，家里的用品也多是网购，有些不急需的商品，她会等到店家搞促销的日子再一起买。去年“双11”前，她提前一个多月就开始挑选商品，多方比价，算好优惠券叠加，连付款方式的优惠都考虑得清清楚楚。</p>

<p>　　今年春节前，莫星实现了自己的第一个5万元存款目标。过年期间，她用这笔钱给父母安排了婚纱照拍摄和全身体检，一个假期下来，她的余额又回到4位数。但能让父母开心，她一点也不觉得心疼，“都是该花的，而且能用我存下的钱，其实挺有成就感的。”</p>

<p>　　(为保护受访者隐私，莫星、张小雨、白雯欣为化名)</p>

<p>　　中青报·中青网记者 张均斌 见习记者 袁洁 来源：中国青年报</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:程春雨】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961288.shtml
5,扫码开门、自助选购、一键结算 无人零售越来越多,2,"<div class=""left_zw"">

<p>　　扫码开门、自助选购、一键结算……无人售货机的出现方便了大家的生活，在商场、车站、地铁、公园、办公楼等人员密集的地方四处可见，货品逐渐多元，有饮料、食品、鲜花、水果、蔬菜、咖啡等，这样简单的购物方式受到了越来越多消费者的青睐。</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p><strong>　　即时满足需求</strong></p>

<p>　　夜深人静，刚写完一篇论文的北京大学生小高心满意足地伸了个懒腰，到宿舍楼下的自助咖啡机购买一杯咖啡犒劳自己。深夜的一杯热咖啡，是小高繁忙而充实的大学生活中不折不扣的“小确幸”。</p>

<p>　　如今，无人售货机在人们的日常生活中随处可见：在车站候车厅为旅客出售饮料、面包、方便面等便民商品；在学校宿舍楼内为学生提供零食饮料；在写字楼下自动售货机为白领提供早餐；居民在小区楼下的生鲜自动售货机买到新鲜水果……在不少开店空间有限但又有较大消费需求的地方，都能看到无人售货机。</p>

<p>　　对消费者来说，无人售货机满足了随机性、即时性的消费需求。比如运动结束口渴难耐时，最近的便利店却在一公里外，近在咫尺的无人售货机自然成为大多数人的第一便捷选择。对于消费者来说，无人售货机迅速填补了生活中对快速购物的需求。</p>

<p>　　与传统零售相比，无人零售兼具“开源”和“节流”两个优势：无人售货机的体积小、占地面积少，24小时售卖，房租和人工成本更低。其收益来源也不仅仅是商品，售货机自身同样是很好的传播媒介，在机身和屏幕上的广告也有收益。</p>

<p><strong>　　“无接触经济”走红</strong></p>

<p>　　无人零售近年的发展，离不开政策支持。2021年7月，商务部办公厅等印发《城市一刻钟便民生活圈建设指南》，鼓励发展智能社区商店、无人值守便利店、自助售卖机等；2021年12月，国务院印发《“十四五”数字经济发展规划》，支持实体消费场所建设数字化消费新场景，推广非接触式服务等应用，提升场景消费体验，培养全民数字消费意识和习惯；2022年8月，科技部等印发《关于加快场景创新以人工智能高水平应用促进经济高质量发展的指导意见》，提出消费领域需积极探索无人货柜零售、无人超市等新兴场景。</p>

<p>　　数字化建设被重视程度不断提高，为实体零售的数字化升级创造了有利的发展环境。无人零售行业在近年发展中“渗透”至更多城市、更多场景，“无接触经济”逐渐被消费者接受认可。</p>

<p>　　专家认为，未来发展无人零售是促进新型消费、扩大内需的重要措施，也是实体零售应对消费需求结构调整、网络零售快速发展变局的重要手段。有大城市已将无人零售作为城市发展的重要部分，积极创新推进，促进智慧城市建设。无人零售作为零售业与人工智能、物联网等技术相结合的新业态模式，在消费规模不断壮大的背景下，将迎来广阔市场。</p>

<p><strong>　　“无感支付”拿了就走</strong></p>

<p>　　2022年10月，上海罗森便利店引入AI无人零售解决方案，无感支付智能门店开业。通过无需排队自动结算的方式，消费者可以快速、便利地选购商品。当被问及无感支付带来的体验时，有顾客连连表示：“很方便！尤其早晨去上班时很多传统便利店非常拥挤，无人零售不用排队。”</p>

<p>　　顾客刷脸或扫码进店后，挑选完毕直接出店就能自动结算，整个过程只需短短数秒。消费者能在匆匆忙忙的工作日早晨快速买到一份营养早餐，快节奏的都市人群尽享日常购物的便利。</p>

<p>　　无人零售兴起的背后，技术进步为行业优化带来不少新气象。曾经困扰无人售货的识别不准确、承载客流有限等问题，在AI、5G、物联网等技术的快速发展中得到有效解决。例如，基于3D机器视觉等技术，门店可对线下物理空间进行三维重建，实时追踪顾客的逛店轨迹、关注商品，识别拿放姿态、商品信息及数量等，无需通过自助结算台操作，AI系统也能随时掌握消费者购物习惯。</p>

<p>　　传统便利店运营中，订货是个很“烧脑”的工作。经营者需要扫视所有栏位、了解销售情况、再逐一订货，对生鲜食品类还要分析过往几星期的销售数据并推测未来几天的订货量。现在，通过门店数智化管理系统，基于海量消费数据实现的顾客购物分析、商品销售分析、区域习惯分析、营销效果分析等，能帮助经营方高效、科学决策，轻松完成订货工作。（记者 黄敬惟）</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:张尼】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961279.shtml
6,蘑菇可取代塑料制造超轻材料 用于研发运动设备等,2,"<div class=""left_zw"">

<p><strong>　　蘑菇可取代塑料制造超轻材料 用于研发运动设备和防弹衣等</strong></p>

<p>　　科技日报讯 (记者刘霞)芬兰科学家揭示了木蹄层孔菌拥有非凡的机械性能和超轻“体重”背后的秘密。结果显示，这种蘑菇复杂的结构可被模仿，取代塑料制成超轻的高性能材料，用于研制运动设备和防弹衣等。相关研究刊发于2月22日出版的《科学进展》杂志。</p>

<p>　　芬兰国家技术研究中心的研究表明，木蹄层孔菌的子实体是一种功能分级的材料，具有三个不同的层。菌丝体网络是所有层中的主要成分，但每一层中菌丝体都表现出非常独特的微观结构，具有独特的方向、纵横比、密度和分枝长度。细胞外基质充当增强黏合剂，在数量、聚合物含量和互连性方面，每一层都有所不同。</p>

<p>　　研究显示，木蹄层孔菌的结构非常独特，因此它可被修改，以创建拥有不同性能的多种材料，这些材料的性能超过了大多数天然和人造材料。</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p>　　最新结果首次显示了木蹄层孔菌在整个进化过程中复杂的结构、化学和机械特征，这些特性协同作用，可创造出一种全新的高性能材料。研究结果有望催生下一代坚固、轻质的可持续材料，用于研制抗冲击植入物、运动设备、防弹衣、飞机外壳、电子设备或挡风玻璃表面涂层等。</p>

<p>　　研究人员称，木蹄层孔菌的结构和生物化学原理为材料工程开辟了新的可能性，例如制造超轻量材料、具有增强机械性能的纳米复合材料，或探索具有高性能的下一代可编程材料的新制造路线。此外，使用简单的成分种植出材料，有助于降低未来制造和消费材料的成本、时间，并更具可持续性。</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:邵婉云】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961263.shtml
7,云南省为保护古茶树资源立法 3月1日起施行,2,"<div class=""left_ph""><img src=""//i2.chinanews.com.cn/simg/ypt/2023/230227/b4a13c72-df9c-47e8-84da-7d5e0bea2c14_zsite.jpg"" alt=""云南省为保护古茶树资源立法3月1日起施行"" /></div>
 显示图片 --&gt;
图片说明--&gt;
     ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961546.shtml
8,2023畜牧业高质量发展助力乡村振兴高峰论坛在青岛召开,2,"<div class=""left_ph""><img src=""//i2.chinanews.com.cn/simg/ypt/2023/230227/83a4ec4c-76ba-46bf-ae11-4b75834b68f0_zsite.jpg"" alt=""2023畜牧业高质量发展助力乡村振兴高峰论坛在青岛召开"" /></div>
 显示图片 --&gt;
图片说明--&gt;
     ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961513.shtml
9,广东法院5年来通过破产重整让167家企业重整再生,2,"<div class=""left_zw"">

<p>　　<a target=""_blank"" href=""/"">中新网</a>广州2月27日电 (方伟彬 陈康秀 赵玮玮)2月27日，广东省高级人民法院发布一批服务保障高质量发展破产审判典型案例。</p>

<p>　　据了解，广东法院5年来通过破产重整让167家企业重整再生，康美药业、雪莱特、浪奇、飞马、赫美、索菱等7家上市公司全部重整成功。2022年，通过重整化解债权债务395亿余元，保障2555名职工就业，破产案件平均审理周期缩短至1年内，快审案件6个月可以完成。</p>

<p>　　广东高院当天发布了15个案例，主要涉及企业破产、个人破产、跨境破产等内容，涵盖农业、房地产、制造业、服务业等多个行业。这些案例表明了破产审判对危困企业的拯救价值和综合处置债务纠纷的能力，也显示了破产审判在防范化解重大风险、优化营商环境方面的特有功能。</p>

<p>　　在广州浪奇预重整转重整案中，广州法院仅用43天即裁定批准了重整计划，化解了50多亿元债权债务纠纷，保障安置了100多名职工，实现了债权人、中小投资者、企业和主业多赢的效果，挽救了老牌上市生产企业。</p><table border=""0"" cellspacing=""0"" cellpadding=""0"" align=""left"" class=""adInContent""><tr><td>画中画广告start--&gt;
画中画广告end--&gt;</td></tr></table>

<p>　　在广东首例医疗机构破产重整案中，肇庆中院快速确定投资方，大幅提高债权清偿率，并妥善解决了职工就业，肇庆西江医院有限公司重整成功让群众能够继续享受优质便捷的医疗服务，实现了在发展中保障和改善民生。</p>

<p>　　华南地区最大民营农机装备生产企业广东科利亚公司在疫情期间重整成功，实现复工复产和持续经营，保住了核心农业技术，全体债权人获100%现金清偿。(完)</p><div class=""adEditor"">编辑姓名start--&gt;<div class=""left_name right""> <span>【编辑:邵婉云】 </span></div>编辑姓名end--&gt;</div><div id=""function_code_page"" />
                        </div>
                        ",中国新闻网,http://www.chinanews.com/cj/2023/02-27/9961510.shtml
