,title,category,passage,news_from,url
0,山村玫瑰庄园迎丰收,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：山村玫瑰庄园迎丰收</div><p style=""text-align:center;"">
	<a href=""/n1/2023/0421/c1008-32669956-2.html""><img alt="""" src=""/mediafile/pic/20230421/7/12911797292650985711.jpg"" /></a></p>
<p align=""center"" class=""pictext"">
	　　4月20日，参加香氛疗愈课程的体验者用玫瑰花汤净手。</p>
<p>
	　　近日，位于浙江省湖州市埭溪镇莫家栅村的玫瑰庄园迎来丰收季。2017年，埭溪镇将一片闲置集体土地交由企业经营，打造了占地600亩的玫瑰庄园。玫瑰种植、民宿和香氛疗愈等各种业态在这里蓬勃发展，为当地乡村经济带来活力。</p>
<p>
	　　新华社记者 翁忻旸 摄</p>
<div class=""zdfy clearfix""><a href=""/n1/2023/0421/c1008-32669956.html"">【1】</a><a href=""/n1/2023/0421/c1008-32669956-2.html"">【2】</a><a href=""/n1/2023/0421/c1008-32669956-3.html"">【3】</a><a href=""/n1/2023/0421/c1008-32669956-4.html"">【4】</a><a href=""/n1/2023/0421/c1008-32669956-5.html"">【5】</a><a href=""/n1/2023/0421/c1008-32669956-6.html"">【6】</a><a href=""/n1/2023/0421/c1008-32669956-7.html"">【7】</a><a href=""/n1/2023/0421/c1008-32669956-8.html"">【8】</a></div><center><table border=""0"" align=""center"" width=""40%""><tr><td width=""50%"" align=""center""><a href=""/n1/2023/0421/c1008-32669956-2.html""><img src=""/img/next_page.jpg"" border=""0"" /></a></td></tr></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、薄晨棣)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0421/c1008-32669956.html
1,浙江金华：婺州举岩茶采收忙,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：浙江金华：婺州举岩茶采收忙</div><p style=""text-align:center;"">
	<a href=""/n1/2023/0420/c1008-32668893-2.html""><img alt="""" src=""/mediafile/pic/20230420/4/7568540373197297800.jpg"" /></a></p>
<p class=""pictext"">
	　　4月19日，在婺州举岩茶产区，茶农们在采茶。</p>
<p>
	　　近期，浙江金华婺州举岩茶产区一片忙碌，茶农们加紧采摘、炒制婺州举岩茶。婺州举岩茶兴于唐宋，盛于明清，鲜叶采于清明至谷雨间，采摘标准为一芽一叶或一芽二叶初展，制作以炒为主、以烘为辅。2022年，婺州举岩茶制作技艺作为中国传统制茶技艺及相关习俗的一个子项目，与西湖龙井、长兴紫笋等浙江名茶共同入选联合国人类非物质文化遗产代表作名录。</p>
<p>
	　　近年来，在龙头企业及非遗传承人的带领下，婺州举岩茶产区逐步规范种植、采收、炒制等流程，带动茶农扩大种植并拓宽销售渠道，既推广了这一传统名茶，也帮助当地茶农增收致富。</p>
<p>
	　　新华社记者 徐昱 摄</p>
<div class=""zdfy clearfix""><a href=""/n1/2023/0420/c1008-32668893.html"">【1】</a><a href=""/n1/2023/0420/c1008-32668893-2.html"">【2】</a><a href=""/n1/2023/0420/c1008-32668893-3.html"">【3】</a><a href=""/n1/2023/0420/c1008-32668893-4.html"">【4】</a><a href=""/n1/2023/0420/c1008-32668893-5.html"">【5】</a><a href=""/n1/2023/0420/c1008-32668893-6.html"">【6】</a></div><center><table border=""0"" align=""center"" width=""40%""><tr><td width=""50%"" align=""center""><a href=""/n1/2023/0420/c1008-32668893-2.html""><img src=""/img/next_page.jpg"" border=""0"" /></a></td></tr></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、薄晨棣)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0420/c1008-32668893.html
2,青海：生态畜牧业促进乡村振兴,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：青海：生态畜牧业促进乡村振兴</div><p style=""text-align: center;"">
	<a href=""/n1/2023/0419/c1008-32667903-2.html""><img alt="""" src=""/mediafile/pic/20230419/63/5042464134360209483.jpg"" /></a></p>
<p>
	　　4月17日，在青海省海北藏族自治州门源回族自治县皇城蒙古族乡，一群藏羊在祁连山腹地的草场上活动。</p>
<p>
	　　青海省是我国五大牧区之一。近年来，青海省贯彻生态优先发展理念，通过调整产业结构，构建“划区轮牧、科学养畜、草畜平衡、协调发展”为主的生态畜牧业发展格局，积极打造绿色有机农畜产品输出地，促进乡村振兴、生态保护、生产转型和农牧民增收。</p>
<p>
	　　新华社记者 张龙 摄</p>
<div class=""zdfy clearfix""><a href=""/n1/2023/0419/c1008-32667903.html"">【1】</a><a href=""/n1/2023/0419/c1008-32667903-2.html"">【2】</a><a href=""/n1/2023/0419/c1008-32667903-3.html"">【3】</a><a href=""/n1/2023/0419/c1008-32667903-4.html"">【4】</a><a href=""/n1/2023/0419/c1008-32667903-5.html"">【5】</a><a href=""/n1/2023/0419/c1008-32667903-6.html"">【6】</a><a href=""/n1/2023/0419/c1008-32667903-7.html"">【7】</a><a href=""/n1/2023/0419/c1008-32667903-8.html"">【8】</a><a href=""/n1/2023/0419/c1008-32667903-9.html"">【9】</a><a href=""/n1/2023/0419/c1008-32667903-10.html"">【10】</a></div><center><table border=""0"" align=""center"" width=""40%""><tr><td width=""50%"" align=""center""><a href=""/n1/2023/0419/c1008-32667903-2.html""><img src=""/img/next_page.jpg"" border=""0"" /></a></td></tr></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、梁秋坪)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0419/c1008-32667903.html
3,壮乡喜迎“三月三”,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：壮乡喜迎“三月三”</div><p style=""text-align: center;"">
	<a href=""/n1/2023/0418/c1008-32666890-2.html""><img alt="""" src=""/mediafile/pic/20230418/10/1496552131669104626.jpg"" /></a></p>
<p class=""pictext"" style=""text-align: center;"">
	　　4月17日，一名老师在广西南宁市滨湖路小学为孩子们讲解铜鼓图案。</p>
<p>
	　　当日，广西南宁市滨湖路小学举行庆祝“三月三”主题教育活动暨2023年青秀区民族团结进步宣传月启动仪式。随着传统节日“壮族三月三”临近，广西各地陆续开展丰富多彩的庆祝活动。</p>
<p>
	　　新华社记者 周华 摄</p>
<div class=""zdfy clearfix""><a href=""/n1/2023/0418/c1008-32666890.html"">【1】</a><a href=""/n1/2023/0418/c1008-32666890-2.html"">【2】</a><a href=""/n1/2023/0418/c1008-32666890-3.html"">【3】</a><a href=""/n1/2023/0418/c1008-32666890-4.html"">【4】</a></div><center><table border=""0"" align=""center"" width=""40%""><tr><td width=""50%"" align=""center""><a href=""/n1/2023/0418/c1008-32666890-2.html""><img src=""/img/next_page.jpg"" border=""0"" /></a></td></tr></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、薄晨棣)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0418/c1008-32666890.html
4,河北临城：牡丹花开游客来,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：河北临城：牡丹花开游客来</div><p style=""text-align:center;"">
	<a href=""/n1/2023/0417/c1008-32665997-2.html""><img alt="""" src=""/mediafile/pic/20230417/70/16490773949302947922.jpg"" /></a></p>
<p class=""pictext"" style=""text-align: center;"">
	　　4月16日，老师带领小朋友在白台峪村牡丹农业产业园内写生（无人机照片）。</p>
<p>
	　　近日，河北省临城县石城乡白台峪村千亩牡丹花竞相绽放，千姿百态、娇俏动人的牡丹，吸引众多游客前来观赏游玩。</p>
<p>
	　　新华社记者 骆学峰 摄</p>
<div class=""zdfy clearfix""><a href=""/n1/2023/0417/c1008-32665997.html"">【1】</a><a href=""/n1/2023/0417/c1008-32665997-2.html"">【2】</a><a href=""/n1/2023/0417/c1008-32665997-3.html"">【3】</a><a href=""/n1/2023/0417/c1008-32665997-4.html"">【4】</a></div><center><table border=""0"" align=""center"" width=""40%""><tr><td width=""50%"" align=""center""><a href=""/n1/2023/0417/c1008-32665997-2.html""><img src=""/img/next_page.jpg"" border=""0"" /></a></td></tr></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、薄晨棣)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0417/c1008-32665997.html
5,春日到贵州来看“海”,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：春日到贵州来看“海”</div><p style=""text-align: center;"">
	<a href=""/n1/2023/0415/c1008-32665108-2.html""><img alt="""" src=""/mediafile/pic/20230415/0/1100676972030438392.jpg"" /></a></p>
<p class=""pictext"" style=""text-align: center;"">
	　　贵州省贵安新区樱花园风貌（3月21日摄，无人机照片）。</p>
<p>
	　　群山连绵的云贵高原，曾经是一片浩瀚的海洋。经过亿万年的地壳运动，沟壑纵横的贵州已经看不到当时的海洋痕迹。</p>
<p>
	　　我们来到今天的贵州，连片的樱花园“花海”姹紫嫣红，湄潭万亩“茶海”竞相吐绿，翠绿的赤水“竹海”与连绵的“山海”相互交融……让人惊叹：2亿年前消失的“海”又回来了！</p>
<p>
	　　秉承“绿水青山就是金山银山”理念，坚持生态优先、绿色发展的新路子，一幅绘满乡村振兴和高质量发展的多彩画卷正在贵州徐徐展开。</p>
<p>
	　　新华社记者 陶亮 摄</p>
<div class=""zdfy clearfix""><a href=""/n1/2023/0415/c1008-32665108.html"">【1】</a><a href=""/n1/2023/0415/c1008-32665108-2.html"">【2】</a><a href=""/n1/2023/0415/c1008-32665108-3.html"">【3】</a><a href=""/n1/2023/0415/c1008-32665108-4.html"">【4】</a><a href=""/n1/2023/0415/c1008-32665108-5.html"">【5】</a><a href=""/n1/2023/0415/c1008-32665108-6.html"">【6】</a><a href=""/n1/2023/0415/c1008-32665108-7.html"">【7】</a><a href=""/n1/2023/0415/c1008-32665108-8.html"">【8】</a><a href=""/n1/2023/0415/c1008-32665108-9.html"">【9】</a><a href=""/n1/2023/0415/c1008-32665108-10.html"">【10】</a><a href=""/n1/2023/0415/c1008-32665108-11.html"">【11】</a><a href=""/n1/2023/0415/c1008-32665108-12.html"">【12】</a><a href=""/n1/2023/0415/c1008-32665108-13.html"">【13】</a><a href=""/n1/2023/0415/c1008-32665108-14.html"">【14】</a><a href=""/n1/2023/0415/c1008-32665108-15.html"">【15】</a><a href=""/n1/2023/0415/c1008-32665108-16.html"">【16】</a></div><center><table border=""0"" align=""center"" width=""40%""><tr><td width=""50%"" align=""center""><a href=""/n1/2023/0415/c1008-32665108-2.html""><img src=""/img/next_page.jpg"" border=""0"" /></a></td></tr></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、马昌)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0415/c1008-32665108.html
6,全国法院去年新收知识产权案件超52万件,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<p>　　在第二十三个“世界知识产权日”来临之际，最高人民法院20日召开发布会，发布《中国法院知识产权司法保护状况（2022年）》，介绍中国知识产权司法保护的新进展。</p><p>　　“2022年，人民法院持续加大对重点领域关键技术知识产权的司法保护力度，激发创新创造活力，助力品牌建设，维护公平竞争秩序，促进文化繁荣发展，知识产权司法保护力度不断加大，保护水平进一步提升。”最高人民法院副院长陶凯元介绍。</p><p>　　<strong>全国具有知识产权民事案件管辖权的基层法院已达558家</strong></p><p>　　《中国法院知识产权司法保护状况（2022年）》显示，全国法院2022年新收一审、二审、申请再审等各类知识产权案件526165件，审结543379件（含旧存）。</p><p>　　陶凯元介绍，知识产权案件呈现四大特点：一是技术类案件持续上升，中西部等地知识产权保护需求强劲，知识产权司法服务高质量发展作用进一步凸显；二是互联网审判机制不断创新，智慧法院建设深入推进，司法便民利民机制持续健全；三是纠纷实质性化解持续加强，权益保障更加全面，人民群众司法获得感日益增强；四是审判重心有序下沉，法院管辖分工更加完善，知识产权案件审判质效稳步提升。</p><p>　　目前，全国具有知识产权民事案件管辖权的基层法院已达558家，基层人民法院化解矛盾的重要功能得到进一步发挥。</p><p>　　“最高人民法院不断完善国家层面知识产权案件上诉审理机制，优化申请再审案件办理流程，加强监督指导，确保法律适用正确统一。”陶凯元介绍，2022年，最高人民法院批复设立无锡、徐州、泉州知识产权法庭，以最高人民法院知识产权审判部门为牵引、4个知识产权法院为示范、27个地方知识产权法庭为重点、地方各级人民法院知识产权审判庭为支撑的专业化体系进一步完善。</p><p>　　<strong>重点领域关键技术司法保护力度不断加大</strong></p><p>　　2022年，人民法院聚焦重点领域关键技术，持续加大对原始创新技术、种业种源等重点领域和新兴产业的知识产权司法保护力度，服务保障创新驱动发展和科技强国建设。</p><p>　　“近年来，人民法院充分发挥司法裁判规则引领和价值导向作用，坚持发展和规范并重。”最高人民法院民三庭庭长林广海介绍，通过妥善审理数据确权、交易、服务、隐私保护等案件，探索完善数据知识产权保护规则，推动营造开放、健康、安全的数字生态，切实维护数据安全。</p><p>　　例如，审理“群控软件”数据权益不正当竞争案，认定被告通过“群控软件”“外挂技术”收集并存储用户数据的行为，危及数据安全，也对网络平台基于数据资源整体获得的竞争权益造成了实质性损害，构成不正当竞争；审理“关键词搜索”商标侵权及不正当竞争案，有力打击利用数据攀附他人商业信誉的不诚信行为。</p><p>　　与此同时，不断完善数据纠纷裁判规则。例如，2021年10月，发布《最高人民法院关于加强新时代知识产权审判工作为知识产权强国建设提供有力司法服务和保障的意见》，全面加强知识产权保护，大力加强互联网领域和大数据、人工智能、基因技术等新领域新业态知识产权司法保护，积极回应新技术、新产业、新业态、新模式知识产权保护司法需求，服务数字经济高质量发展。</p><p>　　“下一步，人民法院将积极探索完善数据产权司法保护规则，为充分发挥数据要素作用、提高数据要素治理效能提供有力司法服务和保障。”林广海说。</p><p>　　<strong>我国日益成为国际知识产权诉讼优选地之一</strong></p><p>　　《中国法院知识产权司法保护状况（2022年）》显示，全国30个地区实现知识产权调解组织全覆盖，入驻调解组织、调解员持续增长，人民法院委派诉前调解纠纷9万余件，调解成功率超过80%，有效化解知识产权纠纷。</p><p>　　“人民法院持续加强与行政机关协同配合，推动形成知识产权保护合力。充分发挥司法审查监督职能，加强司法审判与行政执法衔接协作，促进行政执法标准与司法裁判标准统一。”陶凯元介绍，最高人民法院与国家版权局建立版权保护领域“总对总”在线诉调对接机制，地方法院与行政机关开展诉调对接及行政调解协议司法确认工作，有效化解知识产权纠纷。</p><p>　　今年2月，最高人民法院和国家知识产权局联合印发《关于强化知识产权协同保护的意见》。“下一步，围绕该意见的贯彻落实，我们将积极参与商标、地理标志等知识产权法律法规的制定修改，研究推动符合知识产权特点的法律规范完善；依法加强对具有较高知名度的作品名称、作品中的角色名称等合法权益的保护；推动完善知识产权侵权民事诉讼与授权确权行政程序衔接机制，构建协作联动、快速高效的协同保护机制。”林广海表示。</p><p>　　据介绍，人民法院着力加强知识产权国际司法交流与合作，依法公正审理涉外知识产权案件，平等保护中外权利人，深入推进国际知识产权诉讼优选地建设，我国知识产权司法的国际影响力不断提升。2022年，最高人民法院持续参与世界知识产权组织（WIPO）等多双边交流合作，上海、福建、海南三地法院与WIPO仲裁与调解中心建立合作关系，为快速解决涉外知识产权争议提供便利。</p><p>　　“最高人民法院知识产权法庭成立4年来，共受理当事人一方为外国主体的涉外案件1257件、审结864件，约占法庭全部案件的1/10；其中，当事人均为外国主体的案件数量不断增多，约占法庭全部涉外案件的4%。”最高人民法院知识产权法庭副庭长郃中林表示，越来越多的外国企业选择到中国法院解决纠纷，我国日益成为国际知识产权诉讼优选地之一。</p>
<br /><span id=""paper_num"">　　《 人民日报 》（ 2023年04月21日   06 版）</span>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：岳弘彬、赵欣悦)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0421/c1008-32669585.html
7,河北邢台建立法税协作机制  提升办案效率,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<p>　　本报北京4月20日电  （记者张腾扬）去年4月以来，国家税务总局邢台市税务局与河北省邢台市中级人民法院建立协作机制，加强民事案件不动产拍卖和破产案件监管，实现了相关税费不漏缴。这一机制既有助于法院进一步提高案件审理和执行效率，又增强了税务机关对民事案件的税收监管效能。</p><p>　　据了解，邢台通过建立法税协作机制，完善了法税共治流程，解决了企业破产案件、不动产司法拍卖等业务中涉税事项处理存在的信息沟通不畅、协作不足问题，有效加强企业破产案件和不动产司法拍卖活动的税费监管。截至目前，邢台税务机关通过及时介入企业破产清算、涉案不动产拍卖等业务，共对59户纳税人依法申报税收债权1.93亿元，追缴税费3000余万元。</p><p>　　同时，邢台市法税协作机制还创新税费征缴模式，将司法拍卖中的税费缴纳简化为“事前预算、事中垫付、事后结转”三步。法院在拍卖过程中通过向税务部门定向询价，进一步规范执行财产处置、降低了审判执行风险，有利于营造稳定公平透明的法治化营商环境。</p>
<br /><span id=""paper_num"">　　《 人民日报 》（ 2023年04月21日   10 版）</span>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：岳弘彬、赵欣悦)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0421/c1008-32669592.html
8,浙江：探索企业合规服务改革“温州模式”,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：探索企业合规服务改革“温州模式”</div><p>
	　　本报讯 “企业经营情况如何？合规制度有没有继续落实？是否遇到什么法律问题？”日前，浙江省乐清市人民法院承办法官对一家涉案企业进行回访时，向该企业法定代表人田某询问道。</p>
<p>
	　　田某经营着一家化工公司，公司经营期间为他人虚开增值税专用发票，税额70万余元。2022年2月，检察机关以涉嫌虚开增值税专用发票罪向法院提起公诉。在案件审理过程中，法官了解到该公司拥有新产品发明专利和实用新型专利36项，曾被授予“国家高新技术企业”“浙江省高新技术企业”“浙江省著名商标”等荣誉，公司发展前景和实力较好。</p>
<p>
	　　“直接判处刑罚很可能导致公司生产经营停滞，上百名员工也面临失业风险。”案件承办法官认为，办案不能一判了之，只有能动履职，帮助企业回归合规合法经营的正确道路，才能防止案子办了、企业垮了。</p>
<p>
	　　很快，法院以“企业自我合规整改+行业组织合规监督+司法局合规监督”的方式，对该公司启动涉企合规整改。</p>
<p>
	　　2022年7月，公司提交了企业合规承诺、合规计划。因公司住所地在温州市鹿城区，故鹿城区工商业联合会出具书面意见，同意对该公司合规建设进行评估监督。</p>
<p>
	　　在此基础上，法院结合被告单位某化工公司、被告人田某具体犯罪情形、从轻从宽情节及企业合规建设开展情况，决定从轻处罚，对被告单位某化工公司判处罚金、对被告人田某适用缓刑。同时，乐清法院联合鹿城区司法局将涉案企业合规建设作为社区矫正的内容，由区司法局对企业后续合规建设跟进监督，缓刑考验期内，公司需每年书面反馈企业合规建设情况。</p>
<p>
	　　这一案例是温州法院积极参与、探索涉案企业合规改革的首次试水。</p>
<p>
	　　今年4月11日，温州市中级人民法院、温州市人民检察院召开法检联席会议。会上，法检共同签署为期三年的《关于共同推进企业合规服务的合作框架协议》，合力推进涉案企业合规改革工作。根据该协议，两家单位将联合出台《温州市企业合规指引》《关于办理涉案企业合规案件的指导意见》等文件，持续强化法检在合规案件办理中的配合衔接，细化规定衔接程序、合规标准、合规成果确认等事项，构建全流程合规合作工作格局。</p>
<p>
	　　“这一举措有利于法检两家在实际办案中积累更多温州经验，为推动企业合规立法完善、企业合规司法制度建立贡献智慧。”温州中院党组书记、院长蒋卫宇表示。</p>
<p>
	　　与此同时，温州法院还以“司法建议”助推“个案合规”转向“行业治理”，以企业合规做实对企业的依法保护。</p>
<p>
	　　据统计分析，近年来，温州地区假冒注册商标罪，非法制造、销售非法制造的注册商标标识罪，销售假冒注册商标的商品罪，这三类案件合计占知识产权刑事案件总数一半以上，而从发案的原因看，系部分企业知识产权保护意识和法律意识不强，片面追求生产效益和经济利益，进而扰乱了正常的市场竞争环境。</p>
<p>
	　　针对审判实践中发现的问题，温州知识产权法庭对此类案件中凸显的行政管理部门、企业在合规经营方面存在的问题等，及时进行研判分析，并发送司法建议。</p>
<p>
	　　“非常感谢法院的司法建议，法院通过具体案例分析，给我们提出相应风险防控法律意见，让我们深刻体会到合规经营才是企业立身之本。”一家汽配公司在收到法院的司法建议后感叹道。（黄瑞琦）</p>
<div class=""zdfy clearfix"" /><center><table border=""0"" align=""center"" width=""40%""><tr /></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、薄晨棣)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0421/c1008-32669880.html
9,无锡惠山：企业监事“带病”任职，督促纠正,3,"<div class=""rm_txt_con cf"">
				<div class=""bza""><span /><p /></div>
            	<div class=""box_pic"" />
				<div class=""otitle"">原标题：企业监事“带病”任职，督促纠正</div><p>
	　　本报讯（记者卢志坚 通讯员唐晓宇 李博）“根据检察建议，我们正在全区开展企业违反禁止性任职规定的专项清理，对未变更登记的企业问责追责。”近日，江苏省无锡市惠山区检察院接到该区市场监管局、区大数据管理和政务服务局的回函，4家企业已主动办理经营信息变更登记，4名违规任职的企业“董监高”人员（公司董事、监事、高级管理人员）已下岗。</p>
<p>
	　　今年初，惠山区检察院受理审查丁某涉嫌虚开增值税专用发票一案。经查，丁某系无锡市某服饰有限公司监事，通过他人虚开增值税专用发票25份，涉税额约42万元。在审查该案时，办案检察官了解到，丁某曾于2011年因虚开增值税专用发票罪被法院判处有期徒刑三年，缓刑四年，2019年12月又因该罪被判处有期徒刑一年三个月。涉案企业经营资料却显示，丁某从2011年起一直在该公司担任监事，犯罪记录似乎并未对其任职产生影响。</p>
<p>
	　　知法犯法者为何多年连任公司监事？该院审查后认为，丁某两次因虚开增值税专用发票罪被判处刑罚，却仍担任公司监事，违反了公司法及市场主体登记管理条例中担任企业“董监高”的人员任职禁止性规定。2月9日，该院向相关行政机关制发督促履职检察建议，要求相关部门对该企业变更登记。2月17日，相关行政机关将违规任职人员从企业“董监高”人员名单中剔除。</p>
<p>
	　　那么，丁某案是个别现象吗？该院利用大数据技术对2018年至2022年的惠山区刑事案件信息进行筛查，抓取涉嫌贪污、贿赂、侵占财产、挪用财产或者破坏社会主义市场经济秩序等特定类型犯罪信息177条，涉及企业200余家。检察机关同步向行政机关调取这些企业的注册经营信息，经过比对分析，该院查明4家企业存在高管“带病”任职问题，涉及4人。</p>
<p>
	　　2月21日，该院召集行政机关召开案情分析推进会，并当场送达类案检察建议，督促行政机关依法加强企业任职资格审查。随后，该院牵头召开联席会议，与行政机关会签《关于建立企业违规任职人员职务解除机制的实施意见》，进一步推动市场主体诚信体系建设。</p>
<p>
	　　针对行政机关提出的刑事犯罪信息与企业注册经营信息存在交换壁垒、线索发现困难的问题，今年3月初，该院开发“惠检慧行”数据交换通道，为相关行政机关提供查询接口，帮助其快速发现监管线索，及时有效清理违规任职人员。目前，通过“惠检慧行”数据交换通道，可查询到全区4万余家企业注册经营信息共计80万余条、刑事裁判及行政处罚等信息3万余条。</p>
<p>
	　　■法条链接：</p>
<p>
	　　公司法第一百四十六条</p>
<p>
	　　高管人员的资格禁止有下列情形之一的，不得担任公司的董事、监事、高级管理人员：……（二）因贪污、贿赂、侵占财产、挪用财产或者破坏社会主义市场经济秩序，被判处刑罚，执行期满未逾五年，或者因犯罪被剥夺政治权利，执行期满未逾五年……</p>
<div class=""zdfy clearfix"" /><center><table border=""0"" align=""center"" width=""40%""><tr /></table></center>
                <div class=""box_pic"" />
                <div class=""edit cf"">(责编：温璐、薄晨棣)</div>
				
				<p class=""paper_num""><em class=""section-common-share-wrap"">分享让更多人看到 <i class=""btn_share_common""><img src=""/img/2020wbc/imgs/share.png"" alt="""" /></i> </em></p>
			</div>
			
			
			",人民网,http://society.people.com.cn/n1/2023/0421/c1008-32669899.html
